Specified Values,Specified Attribute Names,sfdm2,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
"0.0, 0.0, 0.0, 2.0, [-22.5,22.5], [2.5500000000000007,39.45], 4.0, [-3.6911930815,56.6911930815], [0.29282470700999996,0.93300537099], [0.19509521448999995,0.82077392551], [-28.135,32.135000000000005], 0.0, [0.4899997,1.1099997], 0.0, [-53.885000000000005,67.885], [-22.900390620000003,33.099609380000004], [12.249999999999998,43.75], [-29.036254999999997,225.692495], [-2.9512548053,4.5511083252999995], 5.0","hospdead, dzgroup, dzclass, num.co, scoma, avtisst, race, sps, surv2m, surv6m, hday, diabetes, prg6m, dnr, dnrday, wblc, resp, pafi, crea, adls",4.0,1.0,1.0,1,7.5,6165,1,0.43478260869565216,0.00039280793866503286,2,2
"[40.848806450000005,99.58711355], 1.0, 0.0, [-111.00000000000001,127.00000000000001], [-741.75,777.75], 5.0, 3.0, 2.0, [-2.385,18.384999999999998], [15.000000000000004,73.0], [-448759.07999999996,467209.07999999996], [-183622.3118919,200201.4368919], [-3.3100000000000023,30.310000000000002], 4.0, [-34.12,68.12], [-26.93,28.93], 1.0, [68.68,161.32], [-18.600585940000002,31.399414059999998], [11.85,36.15], [-22.6585155534,23.2584911334], [-1.3874034924999998,3.1872081725], 6.0","age, death, hospdead, slos, d.time, dzgroup, dzclass, num.co, edu, scoma, charges, totmcst, avtisst, race, aps, hday, dementia, meanbp, wblc, resp, bili, crea, adls",0.0,1.0,1.0,1,4.5,6175,11,0.5,0.00023568476319901972,2,2
"0.0, 0.0, [-112.5,142.5], [89.75999999999999,1062.24], 1.0, 4.0, 3.0, [-406810.74,432826.74], [-164293.35014265,183991.16264265], [-9.216672,35.883328], 4.0, [-0.7251595025000022,33.9204719025], [-10.920000000000002,62.92], [0.559969482715,0.853848877285], 0.0, 1.0, [-53.0,65.0], [-0.25,40.25], [34.6944929,38.4930071], [-1.0534212457,4.2531282857], [120.48,159.52], [-39.345,73.345], [265.0,6835.0]","death, hospdead, slos, d.time, dzclass, num.co, income, charges, totmcst, avtisst, race, sps, aps, surv6m, dementia, dnr, wblc, resp, temp, crea, sod, bun, urine",2.0,1.0,1.0,1,3.0,6203,39,0.5,0.00015712317546601315,2,2
"1.0, [-480.92999999999995,754.93], 2.0, 1.0, 3.0, [7.715,22.285], [-15.0,15.0], [-1.5,19.0], 4.0, [0.9456379464999998,29.6520182535], [-19.25,87.25], [0.6736755371250001,0.9161682128749999], [0.419678955545,0.9221179204550001], 1.0, [0.5549999050000001,1.144999905], [0.5249997,1.0749997], [-43.900390619999996,62.099609380000004], [33.5,114.5], [13.75,54.25], [34.95060605,38.04939395], [38.84687499999998,346.27812500000005], [-8.6205013282,9.6205013282], [7.218247435,7.7602685650000005], 2.0","death, d.time, dzgroup, dzclass, num.co, edu, scoma, avtisst, race, sps, aps, surv2m, surv6m, ca, prg2m, prg6m, wblc, hrt, resp, temp, pafi, bili, ph, adlp",3.0,0.13168724279835387,0.6666666666666666,1,9.333333333333334,6219,55,0.5217391304347826,0.0004888276570053743,2,3
"[-49.7,55.7], [24.49000000000001,571.51], 1.0, 0.0, [-36.5,36.5], [12.96,49.04], [3.774840497499998,38.4204719025], [-15.439999999999998,75.44], 1.0, 1.0, [0.44,1.06], [5.784999999999997,104.215], [-8.703125,43.296875], [-27.0,159.0], [-0.16244967249999975,4.5618636724999995], [111.06398432,446.93601567999997], 2.0","slos, d.time, dzclass, income, scoma, avtisst, sps, aps, diabetes, ca, prg6m, meanbp, wblc, hrt, alb, glucose, adlp",2.0,1.0,1.0,1,2.0,6253,89,0.3695652173913043,0.00010474878364400877,2,2
"1.0, 0.0, 1.0, [-111.60000000000001,119.60000000000001], [-492.37,500.37], 6.0, 2.0, 2.0, [-23.255000000000003,25.255000000000003], 1.0, [0.03,0.47], [-69.955,73.955], [-42.9023438,85.0976562], [52.0,196.0], [0.9499999999999957,63.050000000000004], [205.678125,600.946875], [-2.2005255851,6.3997443451], [132.8,155.2], [7.227505515,7.631870484999999], [1.3997167739999998,6.068056626]","death, sex, hospdead, slos, d.time, dzgroup, dzclass, num.co, hday, diabetes, prg2m, dnrday, wblc, hrt, resp, pafi, crea, sod, ph, adlsc",0.0,1.0,1.0,1,15.5,6259,95,0.43478260869565216,0.000811803073241068,2,2
"[25.211227249999993,70.71273275], 1.0, 1.0, [-62.099999999999994,84.1], [459.45,1168.55], 0.0, [1.42,12.58], [9.55,46.45], [-0.2570043919999989,47.257004392], [4.399999999999999,89.6], 1.0, 0.0, [0.87,1.13], 2.0, [-51.730000000000004,73.73], [-58.0,158.0], 4.0, [2.054858395,5.945141605]","age, death, sex, slos, d.time, dzclass, edu, avtisst, sps, aps, diabetes, dementia, prg6m, dnr, dnrday, hrt, adls, adlsc",2.0,1.0,1.0,1,3.0,6272,108,0.391304347826087,0.00015712317546601315,2,2
"[28.79081645,87.52912355000001], 1.0, 1.0, [-88.9,104.9], [-721.36,737.36], 2.0, 1.0, [7.381465506000001,43.016972093999996], [16.7,59.3], 0.0, 0.0, [-0.07500003600000002,0.27499996400000004], [-2.8000000000000007,54.8], [32.6950794,39.4924206], [-2.3192925289,3.7191948689], [124.76,145.24], [-7.830000000000002,41.83], [4190.0,10130.0]","age, sex, hospdead, slos, d.time, dzclass, num.co, sps, aps, diabetes, ca, prg2m, resp, temp, crea, sod, bun, urine",0.0,1.0,1.0,1,4.5,6286,122,0.391304347826087,0.00023568476319901972,2,2
"0.0, 1.0, 0.0, [-109.37,883.37], 0.0, 0.0, 0.0, [9.350000000000001,18.65], [13.379999999999999,39.620000000000005], 4.0, [3.9841841144999997,40.609565885500004], [-30.28,66.28], [0.63658203134,1.06336914066], 0.0, [0.584999809,1.3149998090000001], [-92.53,180.53], [27.644999999999996,118.355], [-5.0,145.0], [44.13624999999996,623.86375], [-3.574611665,5.574611665], [121.28,166.72], [-178.38402841999994,430.38402841999994], [1.24711917,3.36909183]","death, sex, hospdead, d.time, dzgroup, dzclass, num.co, edu, avtisst, race, sps, aps, surv2m, dementia, prg2m, dnrday, meanbp, hrt, pafi, crea, sod, glucose, adlsc",4.0,1.0,1.0,1,5.5,6301,137,0.5,0.00028805915502102414,2,2
"[49.6122881,81.0496919], 1.0, [-483.24,489.24], [12.73,23.27], 2.0, [-370465.07,431007.07], [-115196.17619999999,150752.8638], [-95889.5551952,131561.5551952], 4.0, [50.948747255,80.645002745], [22.339999999999996,87.66], [-0.18485961916500002,0.18485961916500002], [-14.785,30.785], 0.0, 1.0, [0.03999992799999999,0.359999928], [-0.25500004,0.45499996], [-32.2011719,61.7988281], [-21.8586498234,24.0583568634], [-3.6001837951,5.0000861351], [-2.4049023480000002,2.4049023480000002]","age, death, d.time, edu, income, charges, totcst, totmcst, race, sps, aps, surv6m, hday, diabetes, ca, prg2m, prg6m, wblc, bili, crea, adlsc",0.0,1.0,1.0,1,15.5,6315,151,0.45652173913043476,0.000811803073241068,2,2
