Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
0,0,0,1,1,1,1,0.0,0,0,0,1,0,1.389589786529541,3.5762786865234375e-06,2.6226043701171875e-06,0.0,0.0,0.0
1,0,0,2,2,1,1,1.0,0,0,0,1,0,1.3896851539611816,8.821487426757812e-06,4.291534423828125e-06,0.0,0.0,8.106231689453125e-06
2,0,0,3,3,1,1,2.0,0,0,0,1,0,1.3897452354431152,1.4781951904296875e-05,5.0067901611328125e-06,0.0,0.0,1.6927719116210938e-05
3,0,0,4,4,1,1,3.0,0,0,0,1,0,1.3897876739501953,1.8596649169921875e-05,5.4836273193359375e-06,0.0,0.0,2.002716064453125e-05
4,0,0,5,5,1,1,4.0,0,0,0,1,0,1.3898324966430664,2.3126602172851562e-05,5.7220458984375e-06,0.0,0.0,2.2172927856445312e-05
5,0,0,6,6,1,1,5.0,0,0,0,1,0,1.3898677825927734,2.6702880859375e-05,5.9604644775390625e-06,0.0,0.0,2.5987625122070312e-05
6,0,0,7,7,1,1,6.0,0,0,0,1,0,1.3898966312408447,3.0517578125e-05,6.198883056640625e-06,0.0,0.0,2.7894973754882812e-05
7,0,0,8,8,1,1,7.0,0,0,0,1,0,1.389927625656128,3.5762786865234375e-05,6.4373016357421875e-06,0.0,0.0,2.9087066650390625e-05
8,0,0,9,9,1,1,8.0,0,0,0,1,0,1.3899552822113037,4.00543212890625e-05,6.67572021484375e-06,0.0,0.0,3.0279159545898438e-05
9,0,0,10,10,1,1,9.0,0,0,0,1,0,1.3899829387664795,4.5299530029296875e-05,6.9141387939453125e-06,0.0,0.0,3.147125244140625e-05
10,0,0,11,11,1,1,10.0,0,0,0,1,0,1.3900113105773926,5.221366882324219e-05,7.3909759521484375e-06,0.0,0.0,3.266334533691406e-05
11,0,0,12,12,1,1,11.0,0,0,0,1,0,1.3900465965270996,5.841255187988281e-05,7.62939453125e-06,0.0,0.0,3.647804260253906e-05
12,0,0,13,13,1,1,12.0,0,0,0,1,0,1.3900830745697021,6.747245788574219e-05,7.867813110351562e-06,0.0,0.0,3.814697265625e-05
13,0,0,14,14,1,1,13.0,0,0,0,1,0,1.3901145458221436,7.295608520507812e-05,7.867813110351562e-06,0.0,0.0,3.9577484130859375e-05
14,0,0,15,15,1,1,14.0,0,0,0,1,0,1.390146017074585,8.177757263183594e-05,8.106231689453125e-06,0.0,0.0,4.076957702636719e-05
15,0,0,16,16,1,1,15.0,0,0,0,1,0,1.390181303024292,9.250640869140625e-05,8.344650268554688e-06,0.0,0.0,4.220008850097656e-05
16,0,0,17,17,1,1,16.0,0,0,0,1,0,1.390211582183838,0.00010061264038085938,8.58306884765625e-06,0.0,0.0,4.38690185546875e-05
